first,middle,last,pid,state,num_hearings,num_bills,num_utterances,uid,url
Desmond,,Wheatley,19060,CA,1,1,1,6003471,https://demo.digitaldemocracy.org/hearing/1121?startTime=1043&vid=wwLUl72A2Iw
Nicole,,Littleman,19061,CA,1,1,1,6003713,https://demo.digitaldemocracy.org/hearing/1121?startTime=1544&vid=wwLUl72A2Iw
Shane,,Stevens,19062,CA,1,1,15,6003571,https://demo.digitaldemocracy.org/hearing/1121?startTime=1238&vid=wwLUl72A2Iw
Kevin,,Cameron,19065,CA,1,1,4,6004497,https://demo.digitaldemocracy.org/hearing/1121?startTime=513&vid=sMskNnK-a-c
Starr,,Walton-hurley,19067,CA,1,1,3,6005934,https://demo.digitaldemocracy.org/hearing/1121?startTime=939&vid=ZS0jHZpSkgY
Heather,,Petrie,19068,CA,1,1,2,6005994,https://demo.digitaldemocracy.org/hearing/1121?startTime=1074&vid=ZS0jHZpSkgY
Kevin,,Laws,19069,CA,1,1,15,6007023,https://demo.digitaldemocracy.org/hearing/1121?startTime=381&vid=QhEoO8zzpS4
John,,Duncan,19070,CA,1,1,5,6007079,https://demo.digitaldemocracy.org/hearing/1121?startTime=517&vid=QhEoO8zzpS4
Brian,,McAndrews,19071,CA,1,1,1,6102554,https://demo.digitaldemocracy.org/hearing/1121?startTime=1364&vid=QhEoO8zzpS4
Sylvia,,Ocampo,19073,CA,1,1,9,6015487,https://demo.digitaldemocracy.org/hearing/1123?startTime=171&vid=PtxSBidTzuo
Tracy,,Parent,19075,CA,1,1,14,6003305,https://demo.digitaldemocracy.org/hearing/1121?startTime=710&vid=wwLUl72A2Iw
Rose,,Cahn,19076,CA,1,1,6,6015547,https://demo.digitaldemocracy.org/hearing/1123?startTime=458&vid=PtxSBidTzuo
Felipe,,Garcia,19078,CA,1,1,1,6034731,https://demo.digitaldemocracy.org/hearing/1123?startTime=639&vid=PtxSBidTzuo
Bruce,,Wolf,19079,CA,1,1,1,6003335,https://demo.digitaldemocracy.org/hearing/1121?startTime=789&vid=wwLUl72A2Iw
Tarim,,Buckley,19080,CA,1,1,2,6003341,https://demo.digitaldemocracy.org/hearing/1121?startTime=799&vid=wwLUl72A2Iw
Myra,,Ingram,19081,CA,1,1,1,6712931,https://demo.digitaldemocracy.org/hearing/1227?startTime=1473&vid=1J4CXFiaA8Y
Susan,,Scott,19083,CA,1,1,1,6003353,https://demo.digitaldemocracy.org/hearing/1121?startTime=822&vid=wwLUl72A2Iw
Cheryl,,King,19084,CA,1,1,1,6015597,https://demo.digitaldemocracy.org/hearing/1123?startTime=675&vid=PtxSBidTzuo
Sheila,,Nim,19085,CA,1,1,1,6003359,https://demo.digitaldemocracy.org/hearing/1121?startTime=838&vid=wwLUl72A2Iw
Steve,,King,19086,CA,1,1,1,6003361,https://demo.digitaldemocracy.org/hearing/1121?startTime=843&vid=wwLUl72A2Iw
Marcus,,Seriacer,19087,CA,1,1,1,6003365,https://demo.digitaldemocracy.org/hearing/1121?startTime=851&vid=wwLUl72A2Iw
William,,Rosen,19092,CA,1,1,26,6020709,https://demo.digitaldemocracy.org/hearing/1123?startTime=77&vid=Yn1o1nE92_E
Richard,,Martinez,19094,CA,1,1,22,6020799,https://demo.digitaldemocracy.org/hearing/1123?startTime=283&vid=Yn1o1nE92_E
